2 249685                      
TIME		DATE	MODULE	EVENT_TYPE	THREAD	FUNCTION	MESSAGE
11:22:54	3440	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E19B55 | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelProcessorThread.oInstance | Line: 560
11:22:54	3441	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E19B3C | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelProcessorThread.oInstance | Line: 558
11:22:54	3442	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02EF5307 | QPR.PG.Plugin.dll | QPR.PG.Plugin.dpr | PG.Plugin.InitializePlugin | Line: 312
11:22:54	3442	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x4EC7694A | gdiplus.dll |  | GdiplusStartup | Line: 0
11:22:54	3443	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02EF56B5 | QPR.PG.Plugin.dll | QPR.PG.Plugin.dpr | PG.Plugin.iInitializePlugin | Line: 397
11:22:54	3443	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02EF52C4 | QPR.PG.Plugin.dll | QPR.PG.Plugin.dpr | PG.Plugin.InitializePlugin | Line: 308
11:22:54	3444	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02EF56C1 | QPR.PG.Plugin.dll | QPR.PG.Plugin.dpr | PG.Plugin.iInitializePlugin | Line: 398
11:22:54	3444	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x005D5571 | QPRWas.exe | QPR.WAS.Server.PluginManager.pas | WAS.Server.PluginManager.CPluginManager.FInitializePluginObject | Line: 382
11:22:54	3445	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x005D5300 | QPRWas.exe | QPR.WAS.Server.PluginManager.pas | WAS.Server.PluginManager.CPluginManager.FInitializePluginObject | Line: 316
11:22:54	3445	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x005D5B24 | QPRWas.exe | QPR.WAS.Server.PluginManager.pas | WAS.Server.PluginManager.CPluginManager.dtLoadPluginObjects | Line: 484
